ID,Labeled Data,Label,Created By,Project Name,Created At,Seconds to Label,External ID,Agreement
cji1sv6fi8f7h0794bm3urj7e,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cji1s2pde32fd0710rcjl72g4%2F1255e464-8ac2-4883-b416-6e391a851771%2FIMG_0258.JPG?alt=media&token=abfbeb15-2e76-4ee2-8061-043515f4b31a,"{""Hello"":[[{""x"":1812,""y"":1792},{""x"":1812,""y"":785},{""x"":2061,""y"":785},{""x"":2061,""y"":1792}]]}",yueyingteng@gmail.com,hello,1528210150000,29.923,IMG_0258.JPG,
cji1svtwt8fe107944jzw5opt,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cji1s2pde32fd0710rcjl72g4%2F1255e464-8ac2-4883-b416-6e391a851771%2FIMG_0329.JPG?alt=media&token=4bc41548-076b-421b-a465-6adf5fd99b67,"{""Hello"":[[{""x"":2470,""y"":1359},{""x"":2470,""y"":1022},{""x"":2694,""y"":1022},{""x"":2694,""y"":1359}]]}",yueyingteng@gmail.com,hello,1528210181000,30.651,IMG_0329.JPG,
cji1sw7pw3dgj0710z5gqz56k,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cji1s2pde32fd0710rcjl72g4%2F1255e464-8ac2-4883-b416-6e391a851771%2FIMG_0442.JPG?alt=media&token=b0213861-ada6-4658-b806-0018d560efbd,Skip,yueyingteng@gmail.com,hello,1528210198000,17.825,IMG_0442.JPG,
cji1tl0n08ngf0794u7yp7a7q,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cji1s2pde32fd0710rcjl72g4%2Fe41a3e40-e264-4c15-b2b5-a833a472b04e%2FIMG_0258.JPG?alt=media&token=a4b714ab-cf96-45b4-ae0d-543d3c26d5b3,"{""Hello"":[[{""x"":1800,""y"":1785},{""x"":1800,""y"":782},{""x"":2061,""y"":782},{""x"":2061,""y"":1785}]]}",yueyingteng@gmail.com,hello,1528211356000,21.639,IMG_0258.JPG,
cji1tla9s8nkf0794fnxy164a,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cji1s2pde32fd0710rcjl72g4%2Fe41a3e40-e264-4c15-b2b5-a833a472b04e%2FIMG_0360.JPG?alt=media&token=4dfb1a04-7fe8-479f-a45d-00cee9881e4d,"{""Hello"":[[{""x"":1918,""y"":1524},{""x"":1918,""y"":916},{""x"":2204,""y"":916},{""x"":2204,""y"":1524}]]}",yueyingteng@gmail.com,hello,1528211368000,12.496,IMG_0360.JPG,
cji1tlnpm3mw10710xi4a084y,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cji1s2pde32fd0710rcjl72g4%2Fe41a3e40-e264-4c15-b2b5-a833a472b04e%2FIMG_0260.JPG?alt=media&token=12843403-c3f0-4020-91e8-bfa8447b6efa,"{""Hello"":[[{""x"":2163,""y"":1601},{""x"":2163,""y"":750},{""x"":2454,""y"":750},{""x"":2454,""y"":1601}]]}",yueyingteng@gmail.com,hello,1528211386000,17.372,IMG_0260.JPG,
cji1tlzi43n0a07108rdzirfa,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cji1s2pde32fd0710rcjl72g4%2Fe41a3e40-e264-4c15-b2b5-a833a472b04e%2FIMG_0514.JPG?alt=media&token=92cb8080-086e-4a74-b1e8-36968c96c0ea,"{""Hello"":[[{""x"":1839,""y"":1496},{""x"":1839,""y"":846},{""x"":2125,""y"":846},{""x"":2125,""y"":1496}]]}",yueyingteng@gmail.com,hello,1528211401000,15.321,IMG_0514.JPG,
cji1tmc1o3n5s07106okm0jzc,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cji1s2pde32fd0710rcjl72g4%2Fe41a3e40-e264-4c15-b2b5-a833a472b04e%2FIMG_0362.JPG?alt=media&token=e50c2864-e64e-4998-86df-23686b3b86be,"{""Hello"":[[{""x"":1943,""y"":1482},{""x"":1943,""y"":941},{""x"":2205,""y"":941},{""x"":2205,""y"":1482}]]}",yueyingteng@gmail.com,hello,1528211417000,15.789,IMG_0362.JPG,
cji2ff52p7jhk0710te5pobti,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cji1s2pde32fd0710rcjl72g4%2Fe41a3e40-e264-4c15-b2b5-a833a472b04e%2FIMG_0261.JPG?alt=media&token=dc237f4c-c92c-4d51-9a20-f2ed60be5113,"{""Hello"":[[{""x"":1917,""y"":1742},{""x"":1917,""y"":658},{""x"":2179,""y"":658},{""x"":2179,""y"":1742}]]}",yueyingteng@gmail.com,hello,1528248033000,15.182,IMG_0261.JPG,
cji2fffnidsj80794szj78m45,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cji1s2pde32fd0710rcjl72g4%2Fe41a3e40-e264-4c15-b2b5-a833a472b04e%2FIMG_0516.JPG?alt=media&token=ebbf37c4-12bf-416e-94d0-173bfd7d0af0,"{""Hello"":[[{""x"":1961,""y"":1701},{""x"":1961,""y"":710},{""x"":2204,""y"":710},{""x"":2204,""y"":1701}]]}",yueyingteng@gmail.com,hello,1528248047000,13.997,IMG_0516.JPG,
